IMPHY_ID,Phytochemical_Name,SMILES,RO5_Status
IMPHY009368,Heptadecane,CCCCCCCCCCCCCCCCC,Failed (1 violation)
IMPHY009389,Pentadecane,CCCCCCCCCCCCCCC,Failed (1 violation)
IMPHY009419,Tridecane,CCCCCCCCCCCCC,Failed (1 violation)
IMPHY009624,Ethyl palmitate,CCCCCCCCCCCCCCCC(=O)OCC,Failed (1 violation)
IMPHY009826,"1-(11Z-icosenoyl)-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphoethanolamine",CCCCCCCC/C=CCCCCCCCCCC(=O)OC[C@@H](OC(=O)CCCCCCC/C=CC/C=CCCCCC)COP(=O)(OCC[NH3+])[O-],Failed (2 violations)
IMPHY010000,Dodecane,CCCCCCCCCCCC,Passed
IMPHY010072,Eucalyptol,CC12CCC(CC1)C(O2)(C)C,Passed
IMPHY010579,1-Eicosene,CCCCCCCCCCCCCCCCCCC=C,Failed (1 violation)
IMPHY010904,"(S,S,S)-avenic acid A",OCC[C@@H](C(=O)O)NCC[C@@H](C(=O)O)NCC[C@@H](C(=O)O)O,Failed (1 violation)
IMPHY011215,Tetradecane,CCCCCCCCCCCCCC,Failed (1 violation)
IMPHY011217,"5,7-dihydroxy-2-(4-hydroxyphenyl)-6-[(2R,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-8-[(2S,3R,4S,5S)-3,4,5-trihydroxyoxan-2-yl]chromen-4-one",OC[C@H]1O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)c([C@@H]2OC[C@@H]([C@H]([C@H]2O)O)O)c2c(c1O)c(=O)cc(o2)c1ccc(cc1)O,Failed (3 violations)
IMPHY011393,24-Methylenecycloartanol,C=C(C(C)C)CC[C@H]([C@H]1CC[C@@]2([C@]1(C)CC[C@@]13[C@H]2CC[C@@H]2[C@]3(C1)CC[C@@H](C2(C)C)O)C)C,Failed (1 violation)
IMPHY011394,Arachidic acid,CCCCCCCCCCCCCCCCCCCC(=O)O,Failed (1 violation)
IMPHY011642,Cycloartenol,CC(=CCC[C@H]([C@H]1CC[C@@]2([C@]1(C)CC[C@@]13[C@H]2CC[C@@H]2[C@]3(C1)CC[C@@H](C2(C)C)O)C)C)C,Failed (1 violation)
IMPHY011666,Palmitoleic acid,CCCCCC/C=CCCCCCCCC(=O)O,Failed (1 violation)
IMPHY011759,Neoschaftoside,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)c([C@H]2OC[C@@H]([C@H]([C@H]2O)O)O)c2c(c1O)c(=O)cc(o2)c1ccc(cc1)O,Failed (3 violations)
IMPHY011761,Humulene,C/C/1=CCC(C)(C)/C=C/C/C(=C/CC1)/C,Failed (1 violation)
IMPHY011797,Oleic acid,CCCCCCCC/C=CCCCCCCCC(=O)O,Failed (1 violation)
IMPHY011974,4-Hydroxycinnamic acid,OC(=O)/C=C/c1ccc(cc1)O,Passed
IMPHY012025,Glycerophosphoric acid,OCC(COP(=O)(O)O)O,Passed
IMPHY012723,Linolenic acid,CC/C=CC/C=CC/C=CCCCCCCCC(=O)O,Failed (1 violation)
IMPHY013730,Rizolipase,Oc1ccc(c(c1)O)/N=N/c1ccccn1.[Na+],Passed
IMPHY014890,Cyanidin 3-glucoside,OCC1OC(Oc2cc3c(O)cc(cc3[o+]c2c2ccc(c(c2)O)O)O)C(C(C1O)O)O.[Cl-],Failed (1 violation)
IMPHY014899,Stigmastanol,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC[C@@H]2[C@]1(C)CC[C@@H](C2)O)C,Failed (1 violation)
IMPHY014988,Limonene,CC1=CCC(CC1)C(=C)C,Passed
IMPHY014990,Linoleic acid,CCCCC/C=CC/C=CCCCCCCCC(=O)O,Failed (1 violation)
IMPHY015000,D-Mannose,OC[C@H]1OC(O)[C@H]([C@H]([C@@H]1O)O)O,Passed
IMPHY015241,"2,6,10-Trimethyltetradecane",CCCCC(CCCC(CCCC(C)C)C)C,Failed (1 violation)
IMPHY015918,p-Xylene,Cc1ccc(cc1)C,Passed
IMPHY016159,"1,1,2,3-Tetramethylcyclohexane",CC1CCCC(C1C)(C)C,Passed
IMPHY016165,"Decahydro-1,2-dimethylnaphthalene",CC1CCC2C(C1C)CCCC2,Passed
IMPHY016170,"1,2,3,5-Tetramethylcyclohexane",CC1CC(C)C(C(C1)C)C,Passed
IMPHY016193,"Naphthalene, decahydro-1,5-dimethyl-",CC1CCCC2C1CCCC2C,Passed
IMPHY016196,"Naphthalene, decahydro-1,6-dimethyl-",CC1CCC2C(C1)CCCC2C,Passed
IMPHY016302,"Naphthalene, decahydro-2,3-dimethyl-",CC1CC2CCCCC2CC1C,Passed
IMPHY016339,"2,6-Dimethyldecalin",CC1CCC2C(C1)CCC(C2)C,Passed
IMPHY016529,"1,2,3,6-Tetramethylbicyclo[2.2.2]octane",CC1C2CCC(C1C)(C(C2)C)C,Passed
IMPHY016588,Pentylcyclohexane,CCCCCC1CCCCC1,Passed
IMPHY016589,1-Ethyl-2-methylcyclohexane,CCC1CCCCC1C,Passed
IMPHY016590,1-Ethyl-4-methylcyclohexane,CCC1CCC(CC1)C,Passed
IMPHY016591,1-Methyl-2-propylcyclohexane,CCCC1CCCCC1C,Passed
IMPHY016592,"trans-1,1,3,5-Tetramethylcyclohexane",C[C@@H]1C[C@@H](C)CC(C1)(C)C,Passed
IMPHY016860,"Tetradecanoic acid, trimethylsilyl ester",CCCCCCCCCCCCCC(=O)O[Si](C)(C)C,Failed (1 violation)
IMPHY017077,"3,3-Dimethyloctane",CCCCCC(CC)(C)C,Passed
IMPHY017680,"2,6-Dimethylpiperidine",CC1CCCC(N1)C,Passed
IMPHY005329,2'-Deoxymugineic acid,O[C@H](C(=O)O)CCN[C@H](C(=O)O)CCN1CC[C@H]1C(=O)O,Passed
IMPHY005715,Acetovanillone,COc1cc(ccc1O)C(=O)C,Passed
